,ga:landingPagePath,ga:date,ga:source,ga:country,ga:deviceCategory,ga:users,ga:newUsers,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:avgSessionDuration,ga:totalEvents
0,/discos-smart-bogo-cart-upsell,20220505,(direct),Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
1,/discos-smart-bogo-cart-upsell,20220505,admin,Australia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
2,/discos-smart-bogo-cart-upsell,20220505,happypoints.io,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,88.0,0.0
3,/discos-smart-bogo-cart-upsell,20220505,landing page,Australia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
4,/discos-smart-bogo-cart-upsell,20220505,landing page,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
5,/discos-smart-bogo-cart-upsell,20220505,newsletter,United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
6,/discos-smart-bogo-cart-upsell,20220506,(direct),India,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
7,/discos-smart-bogo-cart-upsell,20220506,(direct),Vietnam,desktop,7.0,5.0,11.0,81.81818181818183,3.727272727272727,358.6363636363636,12.0
8,/discos-smart-bogo-cart-upsell,20220506,(direct),Vietnam,mobile,2.0,2.0,3.0,100.0,1.0,0.0,0.0
9,/discos-smart-bogo-cart-upsell,20220506,admin,India,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
10,/discos-smart-bogo-cart-upsell,20220506,l.facebook.com,Czechia,desktop,1.0,0.0,1.0,0.0,2.0,989.0,0.0
11,/discos-smart-bogo-cart-upsell,20220506,landing page,Vietnam,desktop,1.0,0.0,3.0,33.33333333333333,7.333333333333333,2420.3333333333335,0.0
12,/discos-smart-bogo-cart-upsell,20220506,linkedin.com,Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
13,/discos-smart-bogo-cart-upsell,20220507,admin,United Arab Emirates,desktop,1.0,1.0,1.0,0.0,1.0,113.0,1.0
14,/discos-smart-bogo-cart-upsell,20220507,admin,United Kingdom,desktop,1.0,0.0,1.0,0.0,1.0,97.0,1.0
15,/discos-smart-bogo-cart-upsell,20220507,admin,United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
16,/discos-smart-bogo-cart-upsell,20220508,admin,Kenya,desktop,1.0,0.0,1.0,0.0,1.0,62.0,1.0
17,/discos-smart-bogo-cart-upsell,20220508,google,India,desktop,1.0,0.0,1.0,0.0,1.0,167.0,1.0
18,/discos-smart-bogo-cart-upsell,20220508,google,Kenya,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
19,/discos-smart-bogo-cart-upsell,20220509,(direct),Germany,desktop,1.0,1.0,1.0,0.0,2.0,3.0,0.0
20,/discos-smart-bogo-cart-upsell,20220509,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
21,/discos-smart-bogo-cart-upsell,20220509,linkedin.com,Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
22,/discos-smart-bogo-cart-upsell,20220510,(direct),Czechia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
23,/discos-smart-bogo-cart-upsell,20220510,(direct),France,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
24,/discos-smart-bogo-cart-upsell,20220510,(direct),United States,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
25,/discos-smart-bogo-cart-upsell,20220510,landing page,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
26,/discos-smart-bogo-cart-upsell,20220511,(direct),Vietnam,desktop,2.0,1.0,2.0,50.0,1.5,53.0,0.0
27,/discos-smart-bogo-cart-upsell,20220511,(direct),Vietnam,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
28,/discos-smart-bogo-cart-upsell,20220511,admin,Malaysia,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
29,/discos-smart-bogo-cart-upsell,20220511,admin,United States,desktop,2.0,1.0,2.0,100.0,1.0,0.0,0.0
30,/discos-smart-bogo-cart-upsell,20220511,google,Hungary,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
31,/discos-smart-bogo-cart-upsell,20220511,google,Vietnam,desktop,1.0,0.0,1.0,0.0,3.0,2555.0,0.0
32,/discos-smart-bogo-cart-upsell,20220511,google,Vietnam,mobile,1.0,1.0,2.0,100.0,1.0,0.0,0.0
33,/discos-smart-bogo-cart-upsell,20220511,l.facebook.com,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
34,/discos-smart-bogo-cart-upsell,20220511,landing page,Vietnam,desktop,1.0,0.0,1.0,0.0,2.0,1243.0,0.0
35,/discos-smart-bogo-cart-upsell,20220512,(direct),Vietnam,desktop,1.0,1.0,1.0,0.0,3.0,346.0,0.0
36,/discos-smart-bogo-cart-upsell,20220512,admin,India,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
37,/discos-smart-bogo-cart-upsell,20220512,admin,Saudi Arabia,desktop,1.0,0.0,1.0,0.0,1.0,94.0,1.0
38,/discos-smart-bogo-cart-upsell,20220512,admin,United Kingdom,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
39,/discos-smart-bogo-cart-upsell,20220512,admin,United States,desktop,2.0,1.0,2.0,100.0,1.0,0.0,0.0
40,/discos-smart-bogo-cart-upsell,20220513,(direct),Vietnam,desktop,2.0,0.0,2.0,100.0,1.0,0.0,0.0
41,/discos-smart-bogo-cart-upsell,20220513,admin,United States,desktop,1.0,0.0,1.0,0.0,1.0,17.0,1.0
42,/discos-smart-bogo-cart-upsell,20220514,(direct),Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
43,/discos-smart-bogo-cart-upsell,20220514,admin,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
44,/discos-smart-bogo-cart-upsell,20220515,admin,Philippines,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
45,/discos-smart-bogo-cart-upsell,20220516,(direct),Germany,desktop,1.0,1.0,1.0,0.0,2.0,3.0,0.0
46,/discos-smart-bogo-cart-upsell,20220516,(direct),Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
47,/discos-smart-bogo-cart-upsell,20220516,admin,Canada,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
48,/discos-smart-bogo-cart-upsell,20220516,admin,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
49,/discos-smart-bogo-cart-upsell,20220516,admin,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
50,/discos-smart-bogo-cart-upsell,20220516,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
51,/discos-smart-bogo-cart-upsell,20220516,google,Vietnam,mobile,1.0,0.0,2.0,50.0,1.5,131.0,0.0
52,/discos-smart-bogo-cart-upsell,20220516,shopify community,India,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
53,/discos-smart-bogo-cart-upsell,20220517,admin,United States,desktop,2.0,1.0,2.0,100.0,1.0,0.0,0.0
54,/discos-smart-bogo-cart-upsell,20220517,secure.helpscout.net,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
55,/discos-smart-bogo-cart-upsell,20220517,slack_partner_league,Vietnam,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
56,/discos-smart-bogo-cart-upsell,20220518,admin,United States,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
57,/discos-smart-bogo-cart-upsell,20220518,secure.helpscout.net,Vietnam,desktop,1.0,0.0,2.0,100.0,1.0,0.0,0.0
58,/discos-smart-bogo-cart-upsell,20220519,admin,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
59,/discos-smart-bogo-cart-upsell,20220519,slack_partner_leauge,Guatemala,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
60,/discos-smart-bogo-cart-upsell,20220524,(direct),Vietnam,desktop,2.0,2.0,2.0,100.0,1.0,0.0,0.0
61,/discos-smart-bogo-cart-upsell,20220525,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
62,/discos-smart-bogo-cart-upsell,20220526,website,South Africa,desktop,1.0,1.0,3.0,100.0,1.0,0.0,0.0
63,/discos-smart-bogo-cart-upsell,20220527,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
64,/discos-smart-bogo-cart-upsell,20220530,(direct),India,desktop,1.0,1.0,1.0,0.0,2.0,3.0,0.0
65,/discos-smart-bogo-cart-upsell,20220530,landing page,India,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
66,/discos-smart-bogo-cart-upsell,20220530,website,India,desktop,1.0,1.0,1.0,0.0,1.0,51.0,1.0
67,/discos-smart-bogo-cart-upsell,20220531,google,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
68,/discos-smart-bogo-cart-upsell,20220531,landing page,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
69,/discos-smart-bogo-cart-upsell,20220531,landing page,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
70,/discos-smart-bogo-cart-upsell,20220531,slack_partner_leauge,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
71,/discos-smart-bogo-cart-upsell,20220601,google,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
72,/discos-smart-bogo-cart-upsell,20220601,l.facebook.com,Vietnam,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
73,/discos-smart-bogo-cart-upsell?fbclid=IwAR09RZwhKjodFRCbGwvMoKl5uKV-rx2irpUGkFQ17FxfwVag_qs8Y2YHkZA,20220507,m.facebook.com,Sweden,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
74,/discos-smart-bogo-cart-upsell?fbclid=IwAR1egpE-NQXItINsjcqRluJLKhVhAcDWVahgujAjbwAx4oiOiQNF7pjXLOQ,20220601,m.facebook.com,United States,mobile,1.0,1.0,1.0,100.0,1.0,0.0,0.0
