,ISO-2,ISO-3
0,AF,AFG
1,AX,ALA
2,AL,ALB
3,DZ,DZA
4,AS,ASM
5,AD,AND
6,AO,AGO
7,AI,AIA
8,AQ,ATA
9,AG,ATG
10,AR,ARG
11,AM,ARM
12,AW,ABW
13,AU,AUS
14,AT,AUT
15,AZ,AZE
16,BS,BHS
17,BH,BHR
18,BD,BGD
19,BB,BRB
20,BY,BLR
21,BE,BEL
22,BZ,BLZ
23,BJ,BEN
24,BM,BMU
25,BT,BTN
26,BO,BOL
27,BA,BIH
28,BW,BWA
29,BV,BVT
30,BR,BRA
31,IO,IOT
32,BN,BRN
33,BG,BGR
34,BF,BFA
35,BI,BDI
36,KH,KHM
37,CM,CMR
38,CA,CAN
39,CV,CPV
40,KY,CYM
41,CF,CAF
42,TD,TCD
43,CL,CHL
44,CN,CHN
45,CX,CXR
46,CC,CCK
47,CO,COL
48,KM,COM
49,CG,COG
50,CD,COD
51,CK,COK
52,CR,CRI
53,CI,CIV
54,HR,HRV
55,CU,CUB
56,CY,CYP
57,CZ,CZE
58,DK,DNK
59,DJ,DJI
60,DM,DMA
61,DO,DOM
62,EC,ECU
63,EG,EGY
64,SV,SLV
65,GQ,GNQ
66,ER,ERI
67,EE,EST
68,ET,ETH
69,FK,FLK
70,FO,FRO
71,FJ,FJI
72,FI,FIN
73,FR,FRA
74,GF,GUF
75,PF,PYF
76,TF,ATF
77,GA,GAB
78,GM,GMB
79,GE,GEO
80,DE,DEU
81,GH,GHA
82,GI,GIB
83,GR,GRC
84,GL,GRL
85,GD,GRD
86,GP,GLP
87,GU,GUM
88,GT,GTM
89,GG,GGY
90,GN,GIN
91,GW,GNB
92,GY,GUY
93,HT,HTI
94,HM,HMD
95,VA,VAT
96,HN,HND
97,HK,HKG
98,HU,HUN
99,IS,ISL
100,IN,IND
101,ID,IDN
102,IR,IRN
103,IQ,IRQ
104,IE,IRL
105,IM,IMN
106,IL,ISR
107,IT,ITA
108,JM,JAM
109,JP,JPN
110,JE,JEY
111,JO,JOR
112,KZ,KAZ
113,KE,KEN
114,KI,KIR
115,KP,PRK
116,KR,KOR
117,KW,KWT
118,KG,KGZ
119,LA,LAO
120,LV,LVA
121,LB,LBN
122,LS,LSO
123,LR,LBR
124,LY,LBY
125,LI,LIE
126,LT,LTU
127,LU,LUX
128,MO,MAC
129,MK,MKD
130,MG,MDG
131,MW,MWI
132,MY,MYS
133,MV,MDV
134,ML,MLI
135,MT,MLT
136,MH,MHL
137,MQ,MTQ
138,MR,MRT
139,MU,MUS
140,YT,MYT
141,MX,MEX
142,FM,FSM
143,MD,MDA
144,MC,MCO
145,MN,MNG
146,ME,MNE
147,MS,MSR
148,MA,MAR
149,MZ,MOZ
150,MM,MMR
151,NA,NAM
152,NR,NRU
153,NP,NPL
154,NL,NLD
155,AN,ANT
156,NC,NCL
157,NZ,NZL
158,NI,NIC
159,NE,NER
160,NG,NGA
161,NU,NIU
162,NF,NFK
163,MP,MNP
164,NO,NOR
165,OM,OMN
166,PK,PAK
167,PW,PLW
168,PS,PSE
169,PA,PAN
170,PG,PNG
171,PY,PRY
172,PE,PER
173,PH,PHL
174,PN,PCN
175,PL,POL
176,PT,PRT
177,PR,PRI
178,QA,QAT
179,RE,REU
180,RO,ROU
181,RU,RUS
182,RW,RWA
183,BL,BLM
184,SH,SHN
185,KN,KNA
186,LC,LCA
187,MF,MAF
188,PM,SPM
189,VC,VCT
190,WS,WSM
191,SM,SMR
192,ST,STP
193,SA,SAU
194,SN,SEN
195,RS,SRB
196,SC,SYC
197,SL,SLE
198,SG,SGP
199,SK,SVK
200,SI,SVN
201,SB,SLB
202,SO,SOM
203,ZA,ZAF
204,GS,SGS
205,ES,ESP
206,LK,LKA
207,SD,SDN
208,SR,SUR
209,SJ,SJM
210,SZ,SWZ
211,SE,SWE
212,CH,CHE
213,SY,SYR
214,TW,TWN
215,TJ,TJK
216,TZ,TZA
217,TH,THA
218,TL,TLS
219,TG,TGO
220,TK,TKL
221,TO,TON
222,TT,TTO
223,TN,TUN
224,TR,TUR
225,TM,TKM
226,TC,TCA
227,TV,TUV
228,UG,UGA
229,UA,UKR
230,AE,ARE
231,GB,GBR
232,US,USA
233,UM,UMI
234,UY,URY
235,UZ,UZB
236,VU,VUT
237,VE,VEN
238,VN,VNM
239,VG,VGB
240,VI,VIR
241,WF,WLF
242,EH,ESH
243,YE,YEM
244,ZM,ZMB
245,ZW,ZWE
