,Landing Page,Date,Source,Country,Device,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,Total Events,type,keyword
0,/discos-smart-bogo-cart-upsell,2022-05-05,(direct),Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
1,/discos-smart-bogo-cart-upsell,2022-05-05,admin,Australia,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
2,/discos-smart-bogo-cart-upsell,2022-05-05,happypoints.io,Vietnam,desktop,1,0,1,0.0,2.0,8.800000000000001e-08,0,Others,Others
3,/discos-smart-bogo-cart-upsell,2022-05-05,landing page,Australia,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
4,/discos-smart-bogo-cart-upsell,2022-05-05,landing page,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
5,/discos-smart-bogo-cart-upsell,2022-05-05,newsletter,United States,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
6,/discos-smart-bogo-cart-upsell,2022-05-06,(direct),India,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
7,/discos-smart-bogo-cart-upsell,2022-05-06,(direct),Vietnam,desktop,7,5,11,81.81818181818183,3.727272727272727,3.58e-07,12,Others,Others
8,/discos-smart-bogo-cart-upsell,2022-05-06,(direct),Vietnam,mobile,2,2,3,100.0,1.0,0.0,0,Others,Others
9,/discos-smart-bogo-cart-upsell,2022-05-06,admin,India,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
10,/discos-smart-bogo-cart-upsell,2022-05-06,l.facebook.com,Czechia,desktop,1,0,1,0.0,2.0,9.89e-07,0,Others,Others
11,/discos-smart-bogo-cart-upsell,2022-05-06,landing page,Vietnam,desktop,1,0,3,33.33333333333333,7.333333333333333,2.42e-06,0,Others,Others
12,/discos-smart-bogo-cart-upsell,2022-05-06,linkedin.com,Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
13,/discos-smart-bogo-cart-upsell,2022-05-07,admin,United Arab Emirates,desktop,1,1,1,0.0,1.0,1.13e-07,1,Others,Others
14,/discos-smart-bogo-cart-upsell,2022-05-07,admin,United Kingdom,desktop,1,0,1,0.0,1.0,9.700000000000001e-08,1,Others,Others
15,/discos-smart-bogo-cart-upsell,2022-05-07,admin,United States,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
16,/discos-smart-bogo-cart-upsell,2022-05-08,admin,Kenya,desktop,1,0,1,0.0,1.0,6.2e-08,1,Others,Others
17,/discos-smart-bogo-cart-upsell,2022-05-08,google,India,desktop,1,0,1,0.0,1.0,1.67e-07,1,Others,Others
18,/discos-smart-bogo-cart-upsell,2022-05-08,google,Kenya,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
19,/discos-smart-bogo-cart-upsell,2022-05-09,(direct),Germany,desktop,1,1,1,0.0,2.0,3.0000000000000004e-09,0,Others,Others
20,/discos-smart-bogo-cart-upsell,2022-05-09,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
21,/discos-smart-bogo-cart-upsell,2022-05-09,linkedin.com,Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
22,/discos-smart-bogo-cart-upsell,2022-05-10,(direct),Czechia,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
23,/discos-smart-bogo-cart-upsell,2022-05-10,(direct),France,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
24,/discos-smart-bogo-cart-upsell,2022-05-10,(direct),United States,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
25,/discos-smart-bogo-cart-upsell,2022-05-10,landing page,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
26,/discos-smart-bogo-cart-upsell,2022-05-11,(direct),Vietnam,desktop,2,1,2,50.0,1.5,5.3000000000000005e-08,0,Others,Others
27,/discos-smart-bogo-cart-upsell,2022-05-11,(direct),Vietnam,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
28,/discos-smart-bogo-cart-upsell,2022-05-11,admin,Malaysia,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
29,/discos-smart-bogo-cart-upsell,2022-05-11,admin,United States,desktop,2,1,2,100.0,1.0,0.0,0,Others,Others
30,/discos-smart-bogo-cart-upsell,2022-05-11,google,Hungary,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
31,/discos-smart-bogo-cart-upsell,2022-05-11,google,Vietnam,desktop,1,0,1,0.0,3.0,2.555e-06,0,Others,Others
32,/discos-smart-bogo-cart-upsell,2022-05-11,google,Vietnam,mobile,1,1,2,100.0,1.0,0.0,0,Others,Others
33,/discos-smart-bogo-cart-upsell,2022-05-11,l.facebook.com,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
34,/discos-smart-bogo-cart-upsell,2022-05-11,landing page,Vietnam,desktop,1,0,1,0.0,2.0,1.243e-06,0,Others,Others
35,/discos-smart-bogo-cart-upsell,2022-05-12,(direct),Vietnam,desktop,1,1,1,0.0,3.0,3.46e-07,0,Others,Others
36,/discos-smart-bogo-cart-upsell,2022-05-12,admin,India,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
37,/discos-smart-bogo-cart-upsell,2022-05-12,admin,Saudi Arabia,desktop,1,0,1,0.0,1.0,9.400000000000001e-08,1,Others,Others
38,/discos-smart-bogo-cart-upsell,2022-05-12,admin,United Kingdom,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
39,/discos-smart-bogo-cart-upsell,2022-05-12,admin,United States,desktop,2,1,2,100.0,1.0,0.0,0,Others,Others
40,/discos-smart-bogo-cart-upsell,2022-05-13,(direct),Vietnam,desktop,2,0,2,100.0,1.0,0.0,0,Others,Others
41,/discos-smart-bogo-cart-upsell,2022-05-13,admin,United States,desktop,1,0,1,0.0,1.0,1.7e-08,1,Others,Others
42,/discos-smart-bogo-cart-upsell,2022-05-14,(direct),Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
43,/discos-smart-bogo-cart-upsell,2022-05-14,admin,United States,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
44,/discos-smart-bogo-cart-upsell,2022-05-15,admin,Philippines,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
45,/discos-smart-bogo-cart-upsell,2022-05-16,(direct),Germany,desktop,1,1,1,0.0,2.0,3.0000000000000004e-09,0,Others,Others
46,/discos-smart-bogo-cart-upsell,2022-05-16,(direct),Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
47,/discos-smart-bogo-cart-upsell,2022-05-16,admin,Canada,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
48,/discos-smart-bogo-cart-upsell,2022-05-16,admin,United States,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
49,/discos-smart-bogo-cart-upsell,2022-05-16,admin,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
50,/discos-smart-bogo-cart-upsell,2022-05-16,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
51,/discos-smart-bogo-cart-upsell,2022-05-16,google,Vietnam,mobile,1,0,2,50.0,1.5,1.31e-07,0,Others,Others
52,/discos-smart-bogo-cart-upsell,2022-05-16,shopify community,India,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
53,/discos-smart-bogo-cart-upsell,2022-05-17,admin,United States,desktop,2,1,2,100.0,1.0,0.0,0,Others,Others
54,/discos-smart-bogo-cart-upsell,2022-05-17,secure.helpscout.net,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
55,/discos-smart-bogo-cart-upsell,2022-05-17,slack_partner_league,Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
56,/discos-smart-bogo-cart-upsell,2022-05-18,admin,United States,desktop,1,0,2,100.0,1.0,0.0,0,Others,Others
57,/discos-smart-bogo-cart-upsell,2022-05-18,secure.helpscout.net,Vietnam,desktop,1,0,2,100.0,1.0,0.0,0,Others,Others
58,/discos-smart-bogo-cart-upsell,2022-05-19,admin,United States,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
59,/discos-smart-bogo-cart-upsell,2022-05-19,slack_partner_leauge,Guatemala,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
60,/discos-smart-bogo-cart-upsell,2022-05-24,(direct),Vietnam,desktop,2,2,2,100.0,1.0,0.0,0,Others,Others
61,/discos-smart-bogo-cart-upsell,2022-05-25,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
